Name,Chip manufacturer,Start date,End date,Chip type,Number of units (5th percentile),Number of units (median),Number of units (95th percentile)
TPU v4 Q4 2022 to Q4 2022,Google,10/1/2022,12/31/2022,TPU v4,48232,65964,88073
TPU v4i Q4 2022 to Q4 2022,Google,10/1/2022,12/31/2022,TPU v4i,12498,20461,31147
TPU v5e Q4 2022 to Q4 2022,Google,10/1/2022,12/31/2022,TPU v5e,9723,15683,23737
TPU v4 Q4 2022 to Q1 2023,Google,10/1/2022,3/31/2023,TPU v4,136257,185089,241790
TPU v4i Q4 2022 to Q1 2023,Google,10/1/2022,3/31/2023,TPU v4i,18344,30031,45716
TPU v5e Q4 2022 to Q1 2023,Google,10/1/2022,3/31/2023,TPU v5e,33246,55180,82134
TPU v4 Q4 2022 to Q2 2023,Google,10/1/2022,6/30/2023,TPU v4,182912,250892,327779
TPU v4i Q4 2022 to Q2 2023,Google,10/1/2022,6/30/2023,TPU v4i,18344,30031,45716
TPU v5e Q4 2022 to Q2 2023,Google,10/1/2022,6/30/2023,TPU v5e,123451,175931,242330
TPU v4 Q4 2022 to Q3 2023,Google,10/1/2022,9/30/2023,TPU v4,190719,261998,343997
TPU v4i Q4 2022 to Q3 2023,Google,10/1/2022,9/30/2023,TPU v4i,18344,30031,45716
TPU v5e Q4 2022 to Q3 2023,Google,10/1/2022,9/30/2023,TPU v5e,309560,427327,567663
TPU v4 Q4 2022 to Q4 2023,Google,10/1/2022,12/31/2023,TPU v4,190719,261998,343997
TPU v4i Q4 2022 to Q4 2023,Google,10/1/2022,12/31/2023,TPU v4i,18344,30031,45716
TPU v5e Q4 2022 to Q4 2023,Google,10/1/2022,12/31/2023,TPU v5e,598751,821723,1078880
TPU v5p Q4 2022 to Q4 2023,Google,10/1/2022,12/31/2023,TPU v5p,7281,14422,22488
TPU v4 Q4 2022 to Q1 2024,Google,10/1/2022,3/31/2024,TPU v4,190719,261998,343997
TPU v4i Q4 2022 to Q1 2024,Google,10/1/2022,3/31/2024,TPU v4i,18344,30031,45716
TPU v5e Q4 2022 to Q1 2024,Google,10/1/2022,3/31/2024,TPU v5e,909866,1240607,1627801
TPU v5p Q4 2022 to Q1 2024,Google,10/1/2022,3/31/2024,TPU v5p,71245,98628,129228
TPU v4 Q4 2022 to Q2 2024,Google,10/1/2022,6/30/2024,TPU v4,190719,261998,343997
TPU v4i Q4 2022 to Q2 2024,Google,10/1/2022,6/30/2024,TPU v4i,18344,30031,45716
TPU v5e Q4 2022 to Q2 2024,Google,10/1/2022,6/30/2024,TPU v5e,1189620,1624711,2122986
TPU v5p Q4 2022 to Q2 2024,Google,10/1/2022,6/30/2024,TPU v5p,178443,245024,318278
TPU v4 Q4 2022 to Q3 2024,Google,10/1/2022,9/30/2024,TPU v4,190719,261998,343997
TPU v4i Q4 2022 to Q3 2024,Google,10/1/2022,9/30/2024,TPU v4i,18344,30031,45716
